1,0,4,8,25,4,5,19,24,0,23,28
1,0,5,10,26,4,5,16,33,0,10,14
1,0,3,0,28,4,5,16,16,0,11,3
1,0,7,2,27,4,5,19,34,0,6,29
1,0,2,8,25,4,5,14,43,0,12,9
1,0,7,2,28,4,5,20,15,0,18,28
1,0,0,5,25,4,5,21,10,0,12,24
1,0,6,10,29,4,5,15,42,0,24,9
1,0,0,4,28,4,5,8,21,0,19,21
1,0,5,2,27,4,5,11,44,0,5,23
1,0,6,9,25,4,5,7,36,0,26,19
1,0,0,1,26,4,5,10,53,0,27,16
1,0,4,5,29,4,5,10,45,0,8,28
1,0,0,2,29,4,5,10,57,0,25,1
1,0,6,9,29,4,5,21,54,0,14,1
1,0,5,0,27,4,5,11,43,0,14,16
1,0,5,9,27,4,5,14,2,0,10,6
1,0,1,4,25,4,5,14,56,0,28,8
1,0,2,4,26,4,5,20,17,0,6,1
1,0,4,1,26,4,5,7,31,0,21,20
1,0,5,9,28,4,5,15,21,6,13,3
1,0,5,2,25,4,5,18,22,6,6,28
1,0,7,3,26,4,5,14,52,6,2,9
1,0,7,0,29,4,5,9,20,6,12,4
1,0,3,2,27,4,5,20,2,6,4,8
1,0,4,0,28,4,5,11,40,6,5,8
1,0,1,10,25,4,5,9,24,6,30,18
1,0,0,0,25,4,5,12,18,6,7,7
1,0,2,3,29,4,5,12,42,6,9,4
1,0,5,5,26,4,5,17,48,6,8,25
1,0,4,3,26,4,5,10,38,6,6,2
1,0,0,9,28,4,5,21,48,6,4,7
1,0,0,3,25,4,5,13,38,6,6,25
1,0,6,5,25,4,5,21,4,6,13,27
1,0,6,3,25,4,5,8,21,6,26,4
1,0,6,8,28,4,5,13,53,6,8,8
1,0,2,8,25,4,5,20,48,6,10,13
1,0,3,1,29,4,5,16,32,6,12,27
1,0,0,6,29,4,5,8,12,6,21,1
1,0,4,9,25,4,5,18,19,6,1,30
